# INFO_GERAL: XV RALLY BARRETOS 16/03/2025 - 15:31:01 | Campeonato Brasileiro de Rally Baja 2025 Resultados Extra-Oficiais | ACUMULADO ATÉ DIA 2: Barretos/SP - (272.81km) Geral UTV

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;NO;COLUNA_4;COLUNA_7;COLUNA_10;COLUNA_12;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"JUNIOR SIQUEIRA (SP)
Polaris Rzr Pro R
Cotton Racing/ Polaris Racing Brasil";(1)UT2;"01:32:34.77
(1)";"01:57:57.78
(3)";112;;;;;03:30:32.55;03:54:53.55;"* * *
00:24:21.00"
2;"GUILHERME CYSNE (SP)
Polaris Rzr Pro R
Gc Rally Team / Peak Automotiva";(1)UTU;"01:33:21.03
(3)";"01:57:38.23
(1)";101;;;;;"03:30:59.26
00:00:26.71";03:55:34.26;"* * *
00:24:35.00"
3;"PEDRO BIANOR (MG)
Can Am Maverick R
Vn Maquinas";(1)UT1;"01:33:37.74
(5)";"01:57:41.42
(2)";125;;;;;"03:31:19.16
00:00:46.61
00:00:19.90";03:55:59.16;"* * *
00:24:40.00"
4;"NUNO FOJO (PRT)
Polaris Rzr Pro R
Polaris Factory Racing / Cotton Racing";(2)UT1;"01:33:18.37
(2)";"01:58:32.17
(6)";111;;;;;"03:31:50.54
00:01:17.99
00:00:31.38";03:57:07.54;"* * *
00:25:17.00"
5;"CONRADO MATSUMOTO (MS)
Can Am Maverick R
Cotton Racing";(2)UTU;"01:33:29.32
(4)";"01:58:28.11
(5)";106;;;;;"03:31:57.43
00:01:24.88
00:00:06.89";03:57:44.43;"* * *
00:25:47.00"
6;"ANDRE HORT (SC)
Can Am Maverick R
Mh Racing / Cotton Racing";(3)UTU;"01:34:48.33
(7)";"01:59:47.07
(8)";135;;;;;"03:34:35.40
00:04:02.85
00:02:37.97";03:59:57.40;"* * *
00:25:22.00"
7;"GUILHERME CAIO (SP)
Can Am Maverick R
Cotton Racing";(3)UT1;"01:35:09.93
(8)";"02:00:28.28
(10)";123;;;;;"03:35:38.21
00:05:05.66
00:01:02.81";04:00:18.21;"* * *
00:24:40.00"
8;"MARCOS MIOTTO (SP)
Can Am Maverick R
Dust Rally Team";(4)UTU;"01:35:51.01
(11)";"01:59:59.96
(9)";131;;;;;"03:35:50.97
00:05:18.42
00:00:12.76";04:02:24.97;"* * *
00:26:34.00"
9;"TOMAS LUZA (BA)
Can Am Maverick X3
Cotton Racing";(5)UTU;"01:37:40.69
(21)";"01:58:24.43
(4)";142;;;;;"03:36:05.12
00:05:32.57
00:00:14.15";04:01:34.12;"* * *
00:25:29.00"
10;"ARIEL SCHALLENBERGER (RS)
Can Am Maverick R
T+A Rally Team";"01:36:16.92
(12)";"02:01:31.82
(12)";"* * *
00:24:57.00";121;(6)UTU;04:02:45.74;;;;"03:37:48.74
00:07:16.19
00:01:43.62";
